epoch;epsilon;loss;rougeF1;rougeRecall;rougePrecision;actual;pred
161; 0.200; 0.012258; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.660, max=0.282}
162; 0.195; 0.016112; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.214}; {min=-0.664, max=0.270}
163; 0.190; 0.018654; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.660, max=0.280}
164; 0.185; 0.012044; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.668, max=0.258}
165; 0.180; 0.012002; 0.833333; 0.714286; 1.000000; {min=-0.647, max=0.247}; {min=-0.670, max=0.251}
166; 0.175; 0.014618; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.665, max=0.260}
167; 0.170; 0.017658; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.662, max=0.267}
168; 0.165; 0.012803; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.662, max=0.266}
169; 0.160; 0.004758; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.663, max=0.260}
170; 0.155; 0.009724; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.657, max=0.274}
171; 0.150; 0.022334; 0.560000; 0.500000; 0.636364; {min=-0.647, max=0.251}; {min=-0.667, max=0.205}
172; 0.145; 0.010785; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.648, max=0.275}
